"country","month","Region","CanSino","Johnson","Moderna","AstraZeneca","Pfizer","Sinopharm","Sinovac","Sputnik.V","Covaxin","Vero_mRNA","Vero_In","Vero_AD"
"Argentina","2021-10","South America",0.0016694598328198,0,0.0563818078851732,0.323522874945006,0.0176616576439722,0.314125776068112,0,0.286638423624916,0,0.0740434655291454,0.314125776068112,0.611830758402742
"Aruba","2021-10","South America",0,0,0,0,1,0,0,0,0,1,0,0
"Australia","2021-10","Oceania",0,0,0.000720383804300862,0.474079555633701,0.525200060561998,0,0,0,0,0.525920444366299,0,0.474079555633701
"Austria","2021-10","Europe",0,0.0291689689502314,0.0933857519998676,0.139224721933321,0.73822055711658,0,0,0,0,0.831606309116448,0,0.168393690883552
"Bahrain","2021-10","Asia",0,0,0,0.25,0.25,0.5,0,0,0,0.25,0.5,0.25
"Bangladesh","2021-10","Asia",0,0,0.0917832317634223,0.224817751497337,0.00746056810463485,0.675938448634606,0,0,0,0.0992437998680571,0.675938448634606,0.224817751497337
"Belgium","2021-10","Europe",0,0.0231781640564681,0.0791305035702687,0.164749338269955,0.732941994103308,0,0,0,0,0.812072497673577,0,0.187927502326423
"Botswana","2021-10","Africa",0,0.387060947135477,0,0.158659518822945,0.195326117136924,0,0.222929703325321,0,0.0360237135793328,0.195326117136924,0.258953416904654,0.545720465958422
"Brazil","2021-10","South America",0,0.0911211510444639,0,0.485140662664124,0.0650907074507412,0,0.358647478840671,0,0,0.0650907074507412,0.358647478840671,0.576261813708588
"Bulgaria","2021-10","Europe",0,0.0884523990677064,0.116423227879827,0.179028124569382,0.616096248483084,0,0,0,0,0.732519476362911,0,0.267480523637088
"Cambodia","2021-10","Asia",0,0,0,0,0,0.0444444444444444,0.955555555555556,0,0,0,1,0
"Canada","2021-10","North America",0,0,0.244446168846071,0.0488666660093895,0.70668716514454,0,0,0,0,0.951133333990611,0,0.0488666660093895
"Chile","2021-10","South America",0,0,0,0.0176337494658958,0.249622348638183,0,0.732743901895921,0,0,0.249622348638183,0.732743901895921,0.0176337494658958
"China","2021-10","Asia",0.0509023024268824,0,0,0,0,0.429495955196017,0.5196017423771,0,0,0,0.949097697573118,0.0509023024268824
"Colombia","2021-10","South America",0,0.150541976204666,0.347919233895228,0.16700123226971,0.167268695180767,0,0.167268862449629,0,0,0.515187929075995,0.167268862449629,0.317543208474376
"Costa Rica","2021-10","North America",0,0,0,0.0913206565041996,0.9086793434958,0,0,0,0,0.9086793434958,0,0.0913206565041996
"Croatia","2021-10","Europe",0,0.0308410386116475,0.0940397727234602,0.157988811083701,0.717130377581191,0,0,0,0,0.811170150304651,0,0.188829849695348
"Curacao","2021-10","South America",0,0,0.5,0,0.5,0,0,0,0,1,0,0
"Czechia","2021-10","Europe",0,0.0210984781476054,0.0780714965892082,0.0736904100182471,0.827121505078332,2.82845681283717e-06,1.49492655814029e-05,0,3.32444213072805e-07,0.90519300166754,1.81101666073129e-05,0.0947888881658525
"Denmark","2021-10","Europe",0,0.00549661737913345,0.137289053539538,0.0185175487275153,0.838696780353814,0,0,0,0,0.975985833893352,0,0.0240141661066487
"Ecuador","2021-10","South America",0.0182536198443746,0,0,0.106381821204848,0.299131195461122,0,0.576233363489656,0,0,0.299131195461122,0.576233363489656,0.124635441049223
"Egypt","2021-10","Africa",0,0.145786790777217,0.0683821410050233,0.275363529135208,0.260285296168535,0.0655075382681843,0.180970465431531,0.00370423921430164,0,0.328667437173558,0.246478003699715,0.424854559126727
"Estonia","2021-10","Europe",0,0.0380009020913938,0.102053956559694,0.160301560102477,0.699643581246436,0,0,0,0,0.80169753780613,0,0.198302462193871
"Finland","2021-10","Europe",0,0,0.124885823496215,0.0694120920666363,0.805702084437148,0,0,0,0,0.930587907933363,0,0.0694120920666363
"France","2021-10","Europe",0,0.0109818312774406,0.111659227798996,0.0799244004335184,0.797434540490045,0,0,0,0,0.909093768289041,0,0.090906231710959
"Georgia","2021-10","Asia",0,0,0,0.0310547549317805,0.438563563659067,0.467999685534351,0.0623819958748009,0,0,0.438563563659067,0.530381681409152,0.0310547549317805
"Germany","2021-10","Europe",0,0.0300621002956585,0.0868801360479527,0.114038244850645,0.769019518805744,0,0,0,0,0.855899654853697,0,0.144100345146303
"Ghana","2021-10","Africa",0,0.270150724112016,0.0377961420651985,0.389206020357822,0.302201614055903,0,0,0.00064549940906066,0,0.339997756121102,0,0.660002243878898
"Greece","2021-10","Europe",0,0.0357685412128176,0.0640335757661813,0.0709135093221515,0.82928437369885,0,0,0,0,0.893317949465031,0,0.106682050534969
"Guatemala","2021-10","North America",0,0,0.418524722275325,0.224927840254016,0.204732684893905,0,0,0.151814752576754,0,0.62325740716923,0,0.37674259283077
"Guinea","2021-10","Africa",0,0.233404582891138,0.0176006337722904,0.0935449395375256,0.280419014663458,0.196185408289861,0.140730332879927,0.0381150879658002,0,0.298019648435748,0.336915741169788,0.365064610394463
"Hong Kong","2021-10","Asia",0,0,0,0,0.635539363623129,0,0.364460636376871,0,0,0.635539363623129,0.364460636376871,0
"India","2021-10","Asia",0,0,0,0.827904185955494,0,0,0,0.000584937614835297,0.171510876429671,0,0.171510876429671,0.828489123570329
"Indonesia","2021-10","Asia",0,0,0.012295817312908,0.236458025248231,0.118229012624116,0.177343518936173,0.455673625878572,0,0,0.130524829937024,0.633017144814745,0.236458025248231
"Iran","2021-10","Asia",0,0,0,0,0,0.603555214527783,0,0.396444785472217,0,0,0.603555214527783,0.396444785472217
"Ireland","2021-10","Europe",0,0.0319330891249687,0.0770873319986088,0.160518431134958,0.730461147741465,0,0,0,0,0.807548479740074,0,0.192451520259927
"Israel","2021-10","Asia",0,0,0.0137550424662011,6.89522518966861e-05,0.986176005281902,0,0,0,0,0.999931047748103,0,6.89522518966861e-05
"Italy","2021-10","Europe",0,0.0170440180691364,0.126744331956676,0.138823814876937,0.71738783509725,0,0,0,0,0.844132167053926,0,0.155867832946073
"Japan","2021-10","Asia",0,0,0.165082921051663,0.000355600035353558,0.834561478912984,0,0,0,0,0.999644399964647,0,0.000355600035353558
"Jordan","2021-10","Asia",0,0,0,0.173913043478261,0.478260869565217,0.173913043478261,0,0.173913043478261,0,0.478260869565217,0.173913043478261,0.347826086956522
"Kenya","2021-10","Africa",0,0.208443963053867,0.0929281219086343,0.38444859804677,0.303637575489411,0.00843339320105462,0,0.00210834830026366,0,0.396565697398045,0.00843339320105462,0.5950009094009
"Kuwait","2021-10","Asia",0,0,0.333333333333333,0.5,0.166666666666667,0,0,0,0,0.5,0,0.5
"Latvia","2021-10","Europe",0,0.101752722318129,0.144483866641447,0.146099130413162,0.60764414441081,1.51021623391514e-05,5.03405411305046e-06,0,0,0.752128011052257,2.01362164522019e-05,0.247851852731291
"Lebanon","2021-10","Asia",0,0,0,0,0.813084112149533,0,0,0.186915887850467,0,0.813084112149533,0,0.186915887850467
"Lithuania","2021-10","Europe",0,0.0641223184026437,0.0816276634572435,0.161692221077837,0.692557797062276,0,0,0,0,0.77418546051952,0,0.225814539480481
"Luxembourg","2021-10","Europe",0,0.0514533945892417,0.0945510311312088,0.142095210589495,0.711900363690055,0,0,0,0,0.806451394821264,0,0.193548605178737
