"country","month","Region","CanSino","Johnson","Moderna","AstraZeneca","Pfizer","Sinopharm","Sinovac","Sputnik.V","Covaxin","Vero_mRNA","Vero_In","Vero_AD","F_Vero","population","FW_BW_P"
"Bangladesh","2021-10","Asia",0,0,0.0917832317634223,0.224817751497337,0.00746056810463485,0.675938448634606,0,0,0,0.0992437998680571,0.675938448634606,0.224817751497337,11.177,169356251,7.231527
"Cambodia","2021-10","Asia",0,0,0,0,0,0.0444444444444444,0.955555555555556,0,0,0,1,0,73.69226,16589023,48.55583
"Chile","2021-10","South America",0,0,0,0.0176337494658958,0.249622348638183,0,0.732743901895921,0,0,0.249622348638183,0.732743901895921,0.0176337494658958,74.40742,19493184,51.08688
"China","2021-10","Asia",0.0509023024268824,0,0,0,0,0.429495955196017,0.5196017423771,0,0,0,0.949097697573118,0.0509023024268824,74.97,1425893464,49.73508
"Ecuador","2021-10","South America",0.0182536198443746,0,0,0.106381821204848,0.299131195461122,0,0.576233363489656,0,0,0.299131195461122,0.576233363489656,0.124635441049223,56.66742,17797737,42.08234
"Georgia","2021-10","Asia",0,0,0,0.0310547549317805,0.438563563659067,0.467999685534351,0.0623819958748009,0,0,0.438563563659067,0.530381681409152,0.0310547549317805,22.981,3757980,17.97689
"Indonesia","2021-10","Asia",0,0,0.012295817312908,0.236458025248231,0.118229012624116,0.177343518936173,0.455673625878572,0,0,0.130524829937024,0.633017144814745,0.236458025248231,22.64129,273753191,14.72091
"Iran","2021-10","Asia",0,0,0,0,0,0.603555214527783,0,0.396444785472217,0,0,0.603555214527783,0.396444785472217,29.39286,87923432,20.32104
"Mauritius","2021-10","Africa",0,0.137841425867864,0,0.157174376308348,0.121543372030619,0.50372378988598,0.0012553863922392,0.0784616495149501,0,0.121543372030619,0.504979176278219,0.373477451691162,64.1,1298915,46.49428
"Mongolia","2021-10","Asia",0,0,0,0.0419339396840594,0.249210148396362,0.686133716291687,0,0.0227221956278921,0,0.249210148396362,0.686133716291687,0.0646561353119515,63.76905,3347782,46.75217
"Morocco","2021-10","Africa",0,0.00497396399600109,0,0.143481755059248,0.0815338625955605,0.77001041834919,0,0,0,0.0815338625955605,0.77001041834919,0.148455719055249,56.40375,37076584,31.45924
"Pakistan","2021-10","Asia",0.152066486972147,0,0,0,0.0973345312967955,0.0411799940101827,0.633048817011081,0.0763701707097934,0,0.0973345312967955,0.674228811021264,0.228436657681941,15.458,231402116,10.9112
"Serbia","2021-10","Europe",0,0,0.00014479522190649,0.0413257170748984,0.288531340427258,0.577199588978003,0,0.0927985582979344,0,0.288676135649164,0.577199588978003,0.134124275372833,43.02545,6871547,27.3042
"Sri Lanka","2021-10","Asia",0,0,0.0407175825566644,0.074118509917776,0.28335070687303,0.59375945829848,0,0.00805374235405057,0,0.324068289429694,0.59375945829848,0.0821722522718266,57.65607,21773441,43.54664
