"country","month","Region","CanSino","Johnson","Moderna","AstraZeneca","Pfizer","Sinopharm","Sinovac","Sputnik.V","Covaxin","Vero_mRNA","Vero_In","Vero_AD","F_Vero","population","FW_BW_P"
"Aruba","2021-10","South America",0,0,0,0,1,0,0,0,0,1,0,0,71.25565,106536,52.02597
"Australia","2021-10","Oceania",0,0,0.000720383804300862,0.474079555633701,0.525200060561998,0,0,0,0,0.525920444366299,0,0.474079555633701,54.55387,25921089,45.57756
"Austria","2021-10","Europe",0,0.0291689689502314,0.0933857519998676,0.139224721933321,0.73822055711658,0,0,0,0,0.831606309116448,0,0.168393690883552,62.98258,8922082,51.84709
"Belgium","2021-10","Europe",0,0.0231781640564681,0.0791305035702687,0.164749338269955,0.732941994103308,0,0,0,0,0.812072497673577,0,0.187927502326423,73.69581,11611420,63.83755
"Bulgaria","2021-10","Europe",0,0.0884523990677064,0.116423227879827,0.179028124569382,0.616096248483084,0,0,0,0,0.732519476362911,0,0.267480523637088,20.35966,6885868,16.43804
"Canada","2021-10","North America",0,0,0.244446168846071,0.0488666660093895,0.70668716514454,0,0,0,0,0.951133333990611,0,0.0488666660093895,72.67194,38155012,65.9332
"Colombia","2021-10","South America",0,0.150541976204666,0.347919233895228,0.16700123226971,0.167268695180767,0,0.167268862449629,0,0,0.515187929075995,0.167268862449629,0.317543208474376,37.91696,51516562,29.79054
"Costa Rica","2021-10","North America",0,0,0,0.0913206565041996,0.9086793434958,0,0,0,0,0.9086793434958,0,0.0913206565041996,46.65333,5153957,38.44239
"Croatia","2021-10","Europe",0,0.0308410386116475,0.0940397727234602,0.157988811083701,0.717130377581191,0,0,0,0,0.811170150304651,0,0.188829849695348,43.326,4060135,35.94587
"Czechia","2021-10","Europe",0,0.0210984781476054,0.0780714965892082,0.0736904100182471,0.827121505078332,2.82845681283717e-06,1.49492655814029e-05,0,3.32444213072805e-07,0.90519300166754,1.81101666073129e-05,0.0947888881658525,57.56129,10510750,46.34715
"Denmark","2021-10","Europe",0,0.00549661737913345,0.137289053539538,0.0185175487275153,0.838696780353814,0,0,0,0,0.975985833893352,0,0.0240141661066487,74.35968,5854240,64.14752
"Estonia","2021-10","Europe",0,0.0380009020913938,0.102053956559694,0.160301560102477,0.699643581246436,0,0,0,0,0.80169753780613,0,0.198302462193871,55.43935,1328701,46.16809
"Finland","2021-10","Europe",0,0,0.124885823496215,0.0694120920666363,0.805702084437148,0,0,0,0,0.930587907933363,0,0.0694120920666363,67.1,5535992,60.88754
"France","2021-10","Europe",0,0.0109818312774406,0.111659227798996,0.0799244004335184,0.797434540490045,0,0,0,0,0.909093768289041,0,0.090906231710959,67.43903,67422000,58.65219
"Germany","2021-10","Europe",0,0.0300621002956585,0.0868801360479527,0.114038244850645,0.769019518805744,0,0,0,0,0.855899654853697,0,0.144100345146303,65.34613,83408554,54.98788
"Greece","2021-10","Europe",0,0.0357685412128176,0.0640335757661813,0.0709135093221515,0.82928437369885,0,0,0,0,0.893317949465031,0,0.106682050534969,60.1471,10445365,49.95374
"Guatemala","2021-10","North America",0,0,0.418524722275325,0.224927840254016,0.204732684893905,0,0,0.151814752576754,0,0.62325740716923,0,0.37674259283077,16.71129,17608483,14.42323
"Hong Kong","2021-10","Asia",0,0,0,0,0.635539363623129,0,0.364460636376871,0,0,0.635539363623129,0.364460636376871,0,57.72767,7494578,44.80374
"Ireland","2021-10","Europe",0,0.0319330891249687,0.0770873319986088,0.160518431134958,0.730461147741465,0,0,0,0,0.807548479740074,0,0.192451520259927,75.63533,4986526,63.32466
"Israel","2021-10","Asia",0,0,0.0137550424662011,6.89522518966861e-05,0.986176005281902,0,0,0,0,0.999931047748103,0,6.89522518966861e-05,61.65839,9291000,45.9399
"Italy","2021-10","Europe",0,0.0170440180691364,0.126744331956676,0.138823814876937,0.71738783509725,0,0,0,0,0.844132167053926,0,0.155867832946073,71.25548,59240330,58.78802
"Japan","2021-10","Asia",0,0,0.165082921051663,0.000355600035353558,0.834561478912984,0,0,0,0,0.999644399964647,0,0.000355600035353558,69.81161,124612530,64.68529
"Latvia","2021-10","Europe",0,0.101752722318129,0.144483866641447,0.146099130413162,0.60764414441081,1.51021623391514e-05,5.03405411305046e-06,0,0,0.752128011052257,2.01362164522019e-05,0.247851852731291,49.86645,1873919,42.87858
"Lebanon","2021-10","Asia",0,0,0,0,0.813084112149533,0,0,0.186915887850467,0,0.813084112149533,0,0.186915887850467,24.94269,5592631,20.49804
"Lithuania","2021-10","Europe",0,0.0641223184026437,0.0816276634572435,0.161692221077837,0.692557797062276,0,0,0,0,0.77418546051952,0,0.225814539480481,60.70484,2786651,48.93976
"Luxembourg","2021-10","Europe",0,0.0514533945892417,0.0945510311312088,0.142095210589495,0.711900363690055,0,0,0,0,0.806451394821264,0,0.193548605178737,47,639321,39.36022
"Malaysia","2021-10","Asia",0.00341426615350725,0,0,0.0802534406100812,0.503691757535212,0.000110484714401978,0.412530050986797,0,0,0.503691757535212,0.412640535701199,0.0836677067635885,68.42548,33573874,54.21254
"Netherlands","2021-10","Europe",0,0.033681033923169,0.0884276858094769,0.114654697318091,0.763236582949264,0,0,0,0,0.851664268758741,0,0.14833573124126,64.468,17501696,53.51006
"New Zealand","2021-10","Oceania",0,0,0,0.00753831706800414,0.992461682931996,0,0,0,0,0.992461682931996,0,0.00753831706800414,51.48161,5129728,47.3277
"Norway","2021-10","Europe",0,0.00084397388743039,0.195184822767112,0.0184679620924852,0.785503241252973,0,0,0,0,0.980688064020085,0,0.0193119359799156,68.90161,5403021,59.56086
"Oman","2021-10","Asia",0,0,0,0,0.897330595482546,0,0.102669404517454,0,0,0.897330595482546,0.102669404517454,0,54.305,4520471,48.69313
"Panama","2021-10","North America",0,0,0,0.0931842309016187,0.906815769098381,0,0,0,0,0.906815769098381,0,0.0931842309016187,59.936,4351267,51.77238
"Paraguay","2021-10","South America",0,0,0,0.245608549090473,0.54726977622394,0.0303049411620573,0.04762459203501,0.10716180681985,0.0220303346686689,0.54726977622394,0.0999598678657362,0.352770355910324,30.9225,6703799,25.9718
"Peru","2021-10","South America",0,0,0,0.0509615573852926,0.529958659493485,0.419079783121222,0,0,0,0.529958659493485,0.419079783121222,0.0509615573852926,42.42387,33715472,33.35351
"Philippines","2021-10","Asia",0,0.0540302880234068,0.140456713271725,0.164935535499631,0.397696019939533,0.00467035607813727,0.238211087187566,0,0,0.538152733211259,0.242881443265703,0.218965823523038,21.38952,113880328,17.5385
"Poland","2021-10","Europe",0,0.0564925546289926,0.0828848913980984,0.144097861717121,0.716524692255788,0,0,0,0,0.799409583653886,0,0.200590416346114,51.53474,38307726,43.0339
"Portugal","2021-10","Europe",0,0.0737194589122767,0.130055410727706,0.146842485165638,0.648806951348461,0.000195907019072713,0.000375040954279772,0,4.74587256663836e-06,0.778862362076167,0.000575693845919123,0.220561944077915,81.37,10290103,66.90459
"Qatar","2021-10","Asia",0,0,0.5,0,0.5,0,0,0,0,1,0,0,83.81,2688235,66.2602
"Romania","2021-10","Europe",0,0.0927994826887536,0.0683427541814893,0.0753030872640036,0.763554675865754,0,0,0,0,0.831897430047243,0,0.168102569952757,29.63065,19328560,19.59546
"Singapore","2021-10","Asia",0,0,0.221247232762528,0,0.70953589975374,0,0.0692168674837323,0,0,0.930783132516268,0.0692168674837323,0,83.19742,5453600,72.52955
"Slovenia","2021-10","Europe",0,0.0641016082006568,0.090857636546425,0.152625317070243,0.692415438182675,0,0,0,0,0.7832730747291,0,0.2167269252709,51.28767,2119410,40.99904
"South Africa","2021-10","Africa",0,0.244292312001258,0,0,0.755707687998742,0,0,0,0,0.755707687998742,0,0.244292312001258,17.87308,59392255,15.44326
"South Korea","2021-10","Asia",0,0.0205912430883265,0.135600140836142,0.279690078283802,0.56411853779173,0,0,0,0,0.699718678627872,0,0.300281321372128,63.74774,51830139,55.7953
"Spain","2021-10","Europe",0,0.0276877312745338,0.126758921795479,0.137281354606203,0.708271992323784,0,0,0,0,0.835030914119263,0,0.164969085880737,78.0475,47486935,64.8563
"Sweden","2021-10","Europe",0,0,0.131620884479574,0.0967267381210512,0.771652377399374,0,0,0,0,0.903273261878948,0,0.0967267381210512,64.326,10467097,57.98343
"Switzerland","2021-10","Europe",0,0.000884728511282541,0.654670361340346,0,0.344444910148372,0,0,0,0,0.999115271488718,0,0.000884728511282541,61.49258,8691406,49.21397
"Ukraine","2021-10","Europe",0,0.00139790503254926,0.144247305702027,0.174039516717706,0.399814620365753,0,0.280500652181965,0,0,0.54406192606778,0.280500652181965,0.175437421750255,15.04968,43531422,12.40132
"United Kingdom","2021-10","Europe",0,0.108786610878661,0.161087866108787,0.334728033472803,0.395397489539749,0,0,0,0,0.556485355648536,0,0.443514644351464,67.39613,67281040,50.72455
"United States","2021-10","North America",0,0.0375855601963542,0.378378392109128,0,0.584036047694518,0,0,0,0,0.962414439803646,0,0.0375855601963542,58.41,336997624,32.60038
