"month","type","prop"
"2020-03","20H (Beta, V2)",0.00012685525815045
"2020-04","20H (Beta, V2)",0
"2020-05","20H (Beta, V2)",0
"2020-06","20H (Beta, V2)",0.000211939244083363
"2020-07","20H (Beta, V2)",0
"2020-08","20H (Beta, V2)",0.000636282923941995
"2020-09","20H (Beta, V2)",0.00317607153869873
"2020-10","20H (Beta, V2)",0.00649979814291481
"2020-11","20H (Beta, V2)",0.0186783460002576
"2020-12","20H (Beta, V2)",0.0271216742033863
"2021-01","20H (Beta, V2)",0.0488019517295461
"2021-02","20H (Beta, V2)",0.0630842745438749
"2021-03","20H (Beta, V2)",0.0911636392480368
"2021-04","20H (Beta, V2)",0.0873984962406015
"2021-05","20H (Beta, V2)",0.0654036632340225
"2021-06","20H (Beta, V2)",0.0377032143122263
"2021-07","20H (Beta, V2)",0.0145779515464637
"2021-08","20H (Beta, V2)",0.00355136297426649
"2021-09","20H (Beta, V2)",0.000851895817331192
"2021-10","20H (Beta, V2)",0.00164246064938027
"2021-11","20H (Beta, V2)",5.18633770467511e-05
"2021-12","20H (Beta, V2)",0
"2022-01","20H (Beta, V2)",1.34435706123546e-05
"2022-02","20H (Beta, V2)",0
"2022-03","20H (Beta, V2)",8.0327737167644e-06
"2022-04","20H (Beta, V2)",0
"2022-05","20H (Beta, V2)",0
"2022-06","20H (Beta, V2)",0
"2022-07","20H (Beta, V2)",0
"2022-08","20H (Beta, V2)",0
"2022-09","20H (Beta, V2)",0
"2020-03","20I (Alpha, V1)",6.34276290752252e-05
"2020-04","20I (Alpha, V1)",0.000164586476477849
"2020-05","20I (Alpha, V1)",0.0012197105220361
"2020-06","20I (Alpha, V1)",0
"2020-07","20I (Alpha, V1)",3.25573823864561e-05
"2020-08","20I (Alpha, V1)",0.000621485646641018
"2020-09","20I (Alpha, V1)",0.00129509713228492
"2020-10","20I (Alpha, V1)",0.000753599784685776
"2020-11","20I (Alpha, V1)",0.00404482803040061
"2020-12","20I (Alpha, V1)",0.0549584604059312
"2021-01","20I (Alpha, V1)",0.208033458220789
"2021-02","20I (Alpha, V1)",0.395751520417029
"2021-03","20I (Alpha, V1)",0.552915047196002
"2021-04","20I (Alpha, V1)",0.610022556390977
"2021-05","20I (Alpha, V1)",0.54834525587611
"2021-06","20I (Alpha, V1)",0.354175636552594
"2021-07","20I (Alpha, V1)",0.0740068421420094
"2021-08","20I (Alpha, V1)",0.0233959908441423
"2021-09","20I (Alpha, V1)",0.0105230081698205
"2021-10","20I (Alpha, V1)",0.00283628621397612
"2021-11","20I (Alpha, V1)",0.000125953915684967
"2021-12","20I (Alpha, V1)",0.000239664469742361
"2022-01","20I (Alpha, V1)",6.72178530617732e-05
"2022-02","20I (Alpha, V1)",7.44324525493115e-06
"2022-03","20I (Alpha, V1)",0
"2022-04","20I (Alpha, V1)",0
"2022-05","20I (Alpha, V1)",0
"2022-06","20I (Alpha, V1)",0
"2022-07","20I (Alpha, V1)",0
"2022-08","20I (Alpha, V1)",0
"2022-09","20I (Alpha, V1)",0
"2020-03","20J (Gamma, V3)",0
"2020-04","20J (Gamma, V3)",0
"2020-05","20J (Gamma, V3)",0.00011383964872337
"2020-06","20J (Gamma, V3)",0
"2020-07","20J (Gamma, V3)",0
"2020-08","20J (Gamma, V3)",0.000118378218407813
"2020-09","20J (Gamma, V3)",0
"2020-10","20J (Gamma, V3)",0.000228771363208182
"2020-11","20J (Gamma, V3)",7.7289707587273e-05
"2020-12","20J (Gamma, V3)",0.00296561152592281
"2021-01","20J (Gamma, V3)",0.00719700270105428
"2021-02","20J (Gamma, V3)",0.0180017376194613
"2021-03","20J (Gamma, V3)",0.0364955976838264
"2021-04","20J (Gamma, V3)",0.0628496240601504
"2021-05","20J (Gamma, V3)",0.079687131514818
"2021-06","20J (Gamma, V3)",0.0869423205404202
"2021-07","20J (Gamma, V3)",0.0765691545067374
"2021-08","20J (Gamma, V3)",0.037705486578345
"2021-09","20J (Gamma, V3)",0.0140004189651561
"2021-10","20J (Gamma, V3)",0.00472967835145616
"2021-11","20J (Gamma, V3)",0.00130399348003259
"2021-12","20J (Gamma, V3)",0.000332867319086612
"2022-01","20J (Gamma, V3)",0
"2022-02","20J (Gamma, V3)",0
"2022-03","20J (Gamma, V3)",0
"2022-04","20J (Gamma, V3)",0
