entity,iso_code,year,population,source
Afghanistan,AFG,2022,41128772,https://population.un.org/wpp/Download/Standard/CSV/
Africa,OWID_AFR,2022,1426736614,https://population.un.org/wpp/Download/Standard/CSV/
Albania,ALB,2022,2842318,https://population.un.org/wpp/Download/Standard/CSV/
Algeria,DZA,2022,44903228,https://population.un.org/wpp/Download/Standard/CSV/
American Samoa,ASM,2022,44295,https://population.un.org/wpp/Download/Standard/CSV/
Andorra,AND,2022,79843,https://population.un.org/wpp/Download/Standard/CSV/
Angola,AGO,2022,35588996,https://population.un.org/wpp/Download/Standard/CSV/
Anguilla,AIA,2022,15877,https://population.un.org/wpp/Download/Standard/CSV/
Antigua and Barbuda,ATG,2022,93772,https://population.un.org/wpp/Download/Standard/CSV/
Argentina,ARG,2022,45510324,https://population.un.org/wpp/Download/Standard/CSV/
Armenia,ARM,2022,2780472,https://population.un.org/wpp/Download/Standard/CSV/
Aruba,ABW,2022,106459,https://population.un.org/wpp/Download/Standard/CSV/
Asia,OWID_ASI,2022,4721383370,https://population.un.org/wpp/Download/Standard/CSV/
Australia,AUS,2022,26177410,https://population.un.org/wpp/Download/Standard/CSV/
Austria,AUT,2022,8939617,https://population.un.org/wpp/Download/Standard/CSV/
Azerbaijan,AZE,2022,10358078,https://population.un.org/wpp/Download/Standard/CSV/
Bahamas,BHS,2022,409989,https://population.un.org/wpp/Download/Standard/CSV/
Bahrain,BHR,2022,1472237,https://population.un.org/wpp/Download/Standard/CSV/
Bangladesh,BGD,2022,171186368,https://population.un.org/wpp/Download/Standard/CSV/
Barbados,BRB,2022,281646,https://population.un.org/wpp/Download/Standard/CSV/
Belarus,BLR,2022,9534956,https://population.un.org/wpp/Download/Standard/CSV/
Belgium,BEL,2022,11655923,https://population.un.org/wpp/Download/Standard/CSV/
Belize,BLZ,2022,405285,https://population.un.org/wpp/Download/Standard/CSV/
Benin,BEN,2022,13352864,https://population.un.org/wpp/Download/Standard/CSV/
Bermuda,BMU,2022,64207,https://population.un.org/wpp/Download/Standard/CSV/
Bhutan,BTN,2022,782457,https://population.un.org/wpp/Download/Standard/CSV/
Bolivia,BOL,2022,12224114,https://population.un.org/wpp/Download/Standard/CSV/
Bonaire Sint Eustatius and Saba,BES,2022,27052,https://population.un.org/wpp/Download/Standard/CSV/
Bosnia and Herzegovina,BIH,2022,3233530,https://population.un.org/wpp/Download/Standard/CSV/
Botswana,BWA,2022,2630300,https://population.un.org/wpp/Download/Standard/CSV/
Brazil,BRA,2022,215313504,https://population.un.org/wpp/Download/Standard/CSV/
British Virgin Islands,VGB,2022,31332,https://population.un.org/wpp/Download/Standard/CSV/
Brunei,BRN,2022,449002,https://population.un.org/wpp/Download/Standard/CSV/
Bulgaria,BGR,2022,6781955,https://population.un.org/wpp/Download/Standard/CSV/
Burkina Faso,BFA,2022,22673764,https://population.un.org/wpp/Download/Standard/CSV/
Burundi,BDI,2022,12889583,https://population.un.org/wpp/Download/Standard/CSV/
Cambodia,KHM,2022,16767851,https://population.un.org/wpp/Download/Standard/CSV/
Cameroon,CMR,2022,27914542,https://population.un.org/wpp/Download/Standard/CSV/
Canada,CAN,2022,38454328,https://population.un.org/wpp/Download/Standard/CSV/
Cape Verde,CPV,2022,593162,https://population.un.org/wpp/Download/Standard/CSV/
Cayman Islands,CYM,2022,68722,https://population.un.org/wpp/Download/Standard/CSV/
