"country","month","Region","CanSino","Johnson","Moderna","AstraZeneca","Pfizer","Sinopharm","Sinovac","Sputnik.V","Covaxin","Vero_mRNA","Vero_In","Vero_AD","F_Vero","population","FW_BW_P"
"Botswana","2022-09","Africa",0,0.387060947135477,0,0.158659518822945,0.195326117136924,0,0.222929703325321,0,0.0360237135793328,0.195326117136924,0.258953416904654,0.545720465958422,53.1,2588423,9.62229691034807
"Brazil","2022-09","South America",0,0.0911211510444639,0,0.485140662664124,0.0650907074507412,0,0.358647478840671,0,0,0.0650907074507412,0.358647478840671,0.576261813708588,80.2422222222222,214326223,20.4865967467062
"Ghana","2022-09","Africa",0,0.270150724112016,0.0377961420651985,0.389206020357822,0.302201614055903,0,0,0.00064549940906066,0,0.339997756121102,0,0.660002243878898,25.3366666666667,32833031,12.1949347019368
"India","2022-09","Asia",0,0,0,0.827904185955494,0,0,0,0.000584937614835297,0.171510876429671,0,0.171510876429671,0.828489123570329,67.191,1407563842,15.5002682035664
"Kenya","2022-09","Africa",0,0.208443963053867,0.0929281219086343,0.38444859804677,0.303637575489411,0.00843339320105462,0,0.00210834830026366,0,0.396565697398045,0.00843339320105462,0.5950009094009,18.84,53005614,5.26641587677827
"Mexico","2022-09","North America",0.0629592188796355,0.00601740943525788,0.0279564385021759,0.495517174834293,0.229256145452108,0,0.0891468064482649,0.0891468064482649,0,0.257212583954284,0.0891468064482649,0.653640609597452,63.1,126705138,12.149133223094
"Mozambique","2022-09","Africa",0,0.181679496326851,0,0.456710557299817,0.144419284335347,0.217190662037985,0,0,0,0.144419284335347,0.217190662037985,0.638390053626668,40.72,32077072,4.17995117505208
"Nigeria","2022-09","Africa",0,0.532826364394859,0.118780988350126,0.151792392772835,0.193160712734523,0.00343954174765751,0,0,0,0.311941701084649,0.00343954174765751,0.684618757167694,15.215,213401323,9.79128387373194
"Russia","2022-09","Europe",0,0,0,0,0,0,0,1,0,0,0,1,52.844,145102755,4.75799340329675
"Senegal","2022-09","Africa",0,0.30334132984531,0,0.254888449102117,0.202005455317009,0.238284112980912,0,0.0014806527546508,0,0.202005455317009,0.238284112980912,0.559710431702078,6.52,16876720,0.353954188100247
"Suriname","2022-09","South America",0,0,0,1,0,0,0,0,0,0,0,1,38.81,612984,0.379130199999979
"Zambia","2022-09","Africa",0,0.610304940298294,0.00929608779770055,0.0764460128714303,0.203038103598089,0.0984477408384933,0,0.00246711459599272,0,0.21233419139579,0.0984477408384933,0.689218067765717,30.6,19473125,15.4798091557457
