"country","month","Region","CanSino","Johnson","Moderna","AstraZeneca","Pfizer","Sinopharm","Sinovac","Sputnik.V","Covaxin","Vero_mRNA","Vero_In","Vero_AD","F_Vero","population","FW_BW_P"
"Bangladesh","2022-09","Asia",0,0.00138757693625676,0.053169256049869,0.170865325475794,0.231945158626065,0.370746170750695,0.17188651216132,0,0,0.285114414675934,0.542632682912015,0.172252902412051,71.7611111111111,169356251,29.3581906083019
"Cambodia","2022-09","Asia",0,0,0,0,0,0.0444444444444444,0.955555555555556,0,0,0,1,0,87.5566666666667,16589023,12.6820807975715
"Chile","2022-09","South America",0,0,0,0.0159160262909417,0.233284933727994,0,0.750799039981065,0,0,0.233284933727994,0.750799039981065,0.0159160262909417,90.6573333333333,19493184,44.8449904816545
"China","2022-09","Asia",0.0509023024268824,0,0,0,0,0.429495955196017,0.5196017423771,0,0,0,0.949097697573118,0.0509023024268824,89.14,1425893464,8.06605659156193
"Ecuador","2022-09","South America",0.0177359920257348,0,0,0.15138775691771,0.28825091346044,0,0.542625337596115,0,0,0.28825091346044,0.542625337596115,0.169123748943445,79.08864,17797737,16.4781595865018
"Georgia","2022-09","Asia",0,0,0,0.0310547549317805,0.438563563659067,0.467999685534351,0.0623819958748009,0,0,0.438563563659067,0.530381681409152,0.0310547549317805,33.96,3757980,0.494493889287791
"Indonesia","2022-09","Asia",0,0,0.012295817312908,0.236458025248231,0.118229012624116,0.177343518936173,0.455673625878572,0,0,0.130524829937024,0.633017144814745,0.236458025248231,62.32,273753191,16.9860345459539
"Iran","2022-09","Asia",0,0,0,0,0,0.603555214527783,0,0.396444785472217,0,0,0.603555214527783,0.396444785472217,66.4233333333333,87923432,6.38271445348534
"Mauritius","2022-09","Africa",0,0.137841425867864,0,0.157174376308348,0.121543372030619,0.50372378988598,0.0012553863922392,0.0784616495149501,0,0.121543372030619,0.504979176278219,0.373477451691162,75.27,1298915,7.56021709017723
"Mongolia","2022-09","Asia",0,0,0,0.0419339396840594,0.249210148396362,0.686133716291687,0,0.0227221956278921,0,0.249210148396362,0.686133716291687,0.0646561353119515,64.99,3347782,0.361399031456957
"Morocco","2022-09","Africa",0,0.00497396399600109,0,0.143481755059248,0.0815338625955605,0.77001041834919,0,0,0,0.0815338625955605,0.77001041834919,0.148455719055249,63.362,37076584,2.00428487027106
"Pakistan","2022-09","Asia",0.152066486972147,0,0,0,0.0973345312967955,0.0411799940101827,0.633048817011081,0.0763701707097934,0,0.0973345312967955,0.674228811021264,0.228436657681941,56.8140909090909,231402116,20.3959279305317
"Serbia","2022-09","Europe",0,0,0.00014479522190649,0.0413257170748984,0.288531340427258,0.577199588978003,0,0.0927985582979344,0,0.288676135649164,0.577199588978003,0.134124275372833,47.6966,6871547,0.430031703826454
"Sri Lanka","2022-09","Asia",0,0,0.0407175825566644,0.074118509917776,0.28335070687303,0.59375945829848,0,0.00805374235405057,0,0.324068289429694,0.59375945829848,0.0821722522718266,67.38,21773441,3.71599140893446
