"country","month","Region","CanSino","Johnson","Moderna","AstraZeneca","Pfizer","Sinopharm","Sinovac","Sputnik.V","Covaxin","Vero_mRNA","Vero_In","Vero_AD","F_Vero","population","FW_BW_P"
"Bulgaria","2022-09","Europe",0,0.116373304809296,0.112051283221117,0.105643603277066,0.665931808692522,0,0,0,0,0.777983091913639,0,0.222016908086362,30.0732142857143,6885868,1.08744237354037
"Egypt","2022-09","Africa",0,0.145786790777217,0.0683821410050233,0.275363529135208,0.260285296168535,0.0655075382681843,0.180970465431531,0.00370423921430164,0,0.328667437173558,0.246478003699715,0.424854559126727,36.0533333333333,109262178,10.8008309874866
"Georgia","2022-09","Asia",0,0,0,0.0310547549317805,0.438563563659067,0.467999685534351,0.0623819958748009,0,0,0.438563563659067,0.530381681409152,0.0310547549317805,33.96,3757980,0.494493889287791
"Ghana","2022-09","Africa",0,0.270150724112016,0.0377961420651985,0.389206020357822,0.302201614055903,0,0,0.00064549940906066,0,0.339997756121102,0,0.660002243878898,25.3366666666667,32833031,12.1949347019368
"Guatemala","2022-09","North America",0,0,0.418524722275325,0.224927840254016,0.204732684893905,0,0,0.151814752576754,0,0.62325740716923,0,0.37674259283077,38.994,17608483,14.0895353064435
"Guinea","2022-09","Africa",0,0.233404582891138,0.0176006337722904,0.0935449395375256,0.280419014663458,0.196185408289861,0.140730332879927,0.0381150879658002,0,0.298019648435748,0.336915741169788,0.365064610394463,21.33,13531906,3.41722184776386
"Kenya","2022-09","Africa",0,0.208443963053867,0.0929281219086343,0.38444859804677,0.303637575489411,0.00843339320105462,0,0.00210834830026366,0,0.396565697398045,0.00843339320105462,0.5950009094009,18.84,53005614,5.26641587677827
"Nigeria","2022-09","Africa",0,0.532826364394859,0.118780988350126,0.151792392772835,0.193160712734523,0.00343954174765751,0,0,0,0.311941701084649,0.00343954174765751,0.684618757167694,15.215,213401323,9.79128387373194
"Senegal","2022-09","Africa",0,0.30334132984531,0,0.254888449102117,0.202005455317009,0.238284112980912,0,0.0014806527546508,0,0.202005455317009,0.238284112980912,0.559710431702078,6.52,16876720,0.353954188100247
"South Africa","2022-09","Africa",0,0.245334153088228,0,0,0.754665846911772,0,0,0,0,0.754665846911772,0,0.245334153088228,32.6055172413793,59392255,5.55396965320007
"Suriname","2022-09","South America",0,0,0,1,0,0,0,0,0,0,0,1,38.81,612984,0.379130199999979
"Uganda","2022-09","Africa",0,0.317308643666613,0.0923830399342421,0.126045162910702,0.319656597483846,0.0392035984199831,0.105402957584614,0,0,0.412039637418088,0.144606556004597,0.443353806577315,27.51,45853778,11.7667013024368
"Ukraine","2022-09","Europe",0,0.000665308753652217,0.0966568023915407,0.129777431491966,0.460674076410727,0,0.312226380952114,0,0,0.557330878802268,0.312226380952114,0.130442740245618,34.315714286,43531422,0
"Zambia","2022-09","Africa",0,0.610304940298294,0.00929608779770055,0.0764460128714303,0.203038103598089,0.0984477408384933,0,0.00246711459599272,0,0.21233419139579,0.0984477408384933,0.689218067765717,30.6,19473125,15.4798091557457
