"country","month","Region","CanSino","Johnson","Moderna","AstraZeneca","Pfizer","Sinopharm","Sinovac","Sputnik.V","Covaxin","Vero_mRNA","Vero_In","Vero_AD","F_Vero","population","FW_BW_P"
"Aruba","2022-09","South America",0,0,0,0,1,0,0,0,0,1,0,0,78.4190909090909,106536,2.35763762500002
"Australia","2022-09","Oceania",0,0,0.000720383804300862,0.474079555633701,0.525200060561998,0,0,0,0,0.525920444366299,0,0.474079555633701,83.99,25921089,9.2848955269227
"Austria","2022-09","Europe",0,0.0192177567882713,0.0855585000973875,0.0831608574482606,0.812062885666081,0,0,0,0,0.897621385763469,0,0.102378614236532,75.29419355,8922082,9.26548821989027
"Belgium","2022-09","Europe",0,0.0165799809968574,0.166967988090716,0.110381788109018,0.706070242803408,0,0,0,0,0.873038230894124,0,0.126961769105875,78.8833333333333,11611420,9.30895144666112
"Bulgaria","2022-09","Europe",0,0.116373304809296,0.112051283221117,0.105643603277066,0.665931808692522,0,0,0,0,0.777983091913639,0,0.222016908086362,30.0732142857143,6885868,1.08744237354037
"Canada","2022-09","North America",0,0.000261514512125343,0.285020447837187,0.0319464147977114,0.682771622852976,0,0,0,0,0.967792070690163,0,0.0322079293098367,82.7236666666667,38155012,16.9123317631442
"Colombia","2022-09","South America",0,0.150541976204666,0.347919233895228,0.16700123226971,0.167268695180767,0,0.167268862449629,0,0,0.515187929075995,0.167268862449629,0.317543208474376,70.81,51516562,9.49027382415928
"Costa Rica","2022-09","North America",0,0,0,0.0913206565041996,0.9086793434958,0,0,0,0,0.9086793434958,0,0.0913206565041996,81.55,5153957,20.5009798844976
"Croatia","2022-09","Europe",0,0.0387890113872467,0.0976247208504566,0.107952128832274,0.755634138930023,0,0,0,0,0.85325885978048,0,0.146741140219521,55.3703448275862,4060135,0.298675289905433
"Czechia","2022-09","Europe",0,0.0230069394434768,0.0905505417909216,0.0493635965583078,0.837064073132594,0.00000211335145542093,0.0000124576506845866,0,0.000000278072559923807,0.927614614923516,0.0000148490746999313,0.0723705360017846,65.5386666666667,10510750,4.47484486831754
"Denmark","2022-09","Europe",0,0.00380486276748568,0.140891791614572,0.012759228473932,0.842544117144011,0,0,0,0,0.983435908758583,0,0.0165640912414177,81.6096666666667,5854240,1.34050528423316
"Estonia","2022-09","Europe",0,0.0371632962320846,0.112540925808027,0.112583180924313,0.737712597035576,0,0,0,0,0.850253522843603,0,0.149746477156398,63.671,1328701,5.34953177782989
"Finland","2022-09","Europe",0,0,0.160389983702415,0.0463936220006261,0.793216394296959,0,0,0,0,0.953606377999374,0,0.0463936220006261,78.4425,5535992,20.2954143936929
"France","2022-09","Europe",0,0.00727806027591163,0.159809978782889,0.0525158131828844,0.780396147758315,0,0,0,0,0.940206126541204,0,0.059793873458796,78.6916666666667,67422000,10.2664921774751
"Germany","2022-09","Europe",0,0.0202752791754829,0.170293232097504,0.0691718705606774,0.740259618166336,0,0,0,0,0.91055285026384,0,0.0894471497361603,76.0746666666667,83408554,9.4229236682006
"Greece","2022-09","Europe",0,0.0357685412128176,0.0640335757661813,0.0709135093221515,0.82928437369885,0,0,0,0,0.893317949465031,0,0.106682050534969,73.1153333333333,10445365,8.47323718706632
"Guatemala","2022-09","North America",0,0,0.418524722275325,0.224927840254016,0.204732684893905,0,0,0.151814752576754,0,0.62325740716923,0,0.37674259283077,38.994,17608483,14.0895353064435
"Hong Kong","2022-09","Asia",0,0,0,0,0.573597430135157,0,0.426402569864843,0,0,0.573597430135157,0.426402569864843,0,88.736,7494578,48.1061659977124
"Ireland","2022-09","Europe",0,0.0204309156984481,0.134545381680646,0.102530637157185,0.742493065463721,0,0,0,0,0.877038447144367,0,0.122961552855633,81.2443333333333,4986526,5.54547748829862
"Israel","2022-09","Asia",0,0,0.0137550424662011,0.0000689522518966861,0.986176005281902,0,0,0,0,0.999931047748103,0,0.0000689522518966861,66.2310714285714,9291000,1.43940196032961
"Italy","2022-09","Europe",0,0.010732453811414,0.243617090196205,0.0865862205890042,0.659064235403377,0,0,0,0,0.902681325599582,0,0.0973186744004182,80.9636666666667,59240330,8.08074873261624
"Japan","2022-09","Asia",0,0,0.241772599095586,0.00036646761338903,0.757860933291025,0,0,0,0,0.999633532386611,0,0.00036646761338903,82.48,124612530,54.5983432007199
"Latvia","2022-09","Europe",0,0.101485414247247,0.247073186163556,0.0905090518534591,0.560919913418214,0.0000093257381423789,0.00000310857938079297,0,0,0.80799309958177,0.0000124343175231719,0.191994466100706,69.68636,1873919,1.24383824117064
"Lebanon","2022-09","Asia",0,0,0,0,0.813084112149533,0,0,0.186915887850467,0,0.813084112149533,0,0.186915887850467,42.9366666666667,5592631,5.0730646287464
"Lithuania","2022-09","Europe",0,0.0659308037500653,0.0734106037943378,0.119596920070096,0.741061672385501,0,0,0,0,0.814472276179839,0,0.185527723820161,67.41,2786651,0.987500268730609
"Luxembourg","2022-09","Europe",0,0.0343973398041994,0.281064841029093,0.0871494337301354,0.597388385436572,0,0,0,0,0.878453226465665,0,0.121546773534335,72.37,639321,9.43828008158593
"Malaysia","2022-09","Asia",0.00313752155226323,0,0,0.0791617525654637,0.618298139849854,0.000610711388881111,0.298791874643538,0,0,0.618298139849854,0.299402586032419,0.0822992741177269,81.922,33573874,7.47288742352653
"Netherlands","2022-09","Europe",0,0.0219727957137083,0.245777305510636,0.0719506540701438,0.660299244705511,0,0,0,0,0.906076550216147,0,0.0939234497838521,68.32,17501696,2.45130014042313
"New Zealand","2022-09","Oceania",0,0,0,0.00753831706800414,0.992461682931996,0,0,0,0,0.992461682931996,0,0.00753831706800414,80.5456666666667,5129728,16.1162625150364
"Norway","2022-09","Europe",0,0.000644045376895981,0.200250056994194,0.0129908986458004,0.786114998983109,0,0,0,0,0.986365055977303,0,0.0136349440226964,75.0057142857143,5403021,9.72769932237347
"Oman","2022-09","Asia",0,0,0,0,0.897330595482546,0,0.102669404517454,0,0,0.897330595482546,0.102669404517454,0,67.42,4520471,1.64982140622864
"Panama","2022-09","North America",0,0,0,0.0931842309016187,0.906815769098381,0,0,0,0,0.906815769098381,0,0.0931842309016187,72.295,4351267,14.7054321922332
"Paraguay","2022-09","South America",0,0,0,0.245608549090473,0.54726977622394,0.0303049411620573,0.04762459203501,0.10716180681985,0.0220303346686689,0.54726977622394,0.0999598678657362,0.352770355910324,52.33,6703799,11.9710381908224
"Peru","2022-09","South America",0,0,0.0569447319258638,0.0951458064313608,0.595537878444605,0.25237158319817,0,0,0,0.652482610370469,0.25237158319817,0.0951458064313608,83.6466666666667,33715472,41.5749472247348
"Philippines","2022-09","Asia",0,0.0540302880234068,0.140456713271725,0.164935535499631,0.397696019939533,0.00467035607813727,0.238211087187566,0,0,0.538152733211259,0.242881443265703,0.218965823523038,63.8566666666667,113880328,10.453421623439
"Poland","2022-09","Europe",0,0.0534703975034731,0.0719935837113359,0.103999453330431,0.77053656545476,0,0,0,0,0.842530149166096,0,0.157469850833904,58.8768965517241,38307726,6.21513615600228
"Portugal","2022-09","Europe",0,0.0489514439897438,0.15876805054456,0.0975861620927251,0.69426709065759,0.000153626694394869,0.000270181476269003,0,0.00000344454471737374,0.85303514120215,0.000427252715381246,0.146537606082469,86.6566666666667,10290103,6.34280402098744
"Qatar","2022-09","Asia",0,0,0.5,0,0.5,0,0,0,0,1,0,0,103.928,2688235,25.0264127384616
"Romania","2022-09","Europe",0,0.122118990246142,0.0599597680246989,0.0505045166747258,0.767416725054433,0,0,0,0,0.827376493079132,0,0.172623506920868,41.97182,19328560,0.166853667066091
"Singapore","2022-09","Asia",0,0,0.221247232762528,0,0.70953589975374,0,0.0692168674837323,0,0,0.930783132516268,0.0692168674837323,0,93.855,5453600,12.342503398816
"Slovenia","2022-09","Europe",0,0.0458394863209784,0.0800648595522731,0.109121498360864,0.764974155765884,0,0,0,0,0.845039015318157,0,0.154960984681842,57.67,2119410,1.11809348173852
"South Africa","2022-09","Africa",0,0.245334153088228,0,0,0.754665846911772,0,0,0,0,0.754665846911772,0,0.245334153088228,32.6055172413793,59392255,5.55396965320007
"South Korea","2022-09","Asia",0,0.0120469031140395,0.196726215184763,0.158543791936963,0.632683089764235,0,0,0,0,0.829409304948998,0,0.170590695051002,86.1943333333333,51830139,15.1954771866348
"Spain","2022-09","Europe",0,0.0192392014141166,0.234106253757591,0.0951214542683965,0.651533090559896,0,0,0,0,0.885639344317487,0,0.114360655682513,85.595,47486935,5.05786547189315
"Sweden","2022-09","Europe",0,0,0.190133857567304,0.0611335600368529,0.748732582395843,0,0,0,0,0.938866439963147,0,0.0611335600368529,72.84,10467097,31.7614160071119
"Switzerland","2022-09","Europe",0,0.00430057136596099,0.5843639923702,0,0.411335436263839,0,0,0,0,0.995699428634039,0,0.00430057136596099,69.1307142857143,8691406,3.93080657477116
"Ukraine","2022-09","Europe",0,0.000665308753652217,0.0966568023915407,0.129777431491966,0.460674076410727,0,0.312226380952114,0,0,0.557330878802268,0.312226380952114,0.130442740245618,34.315714286,43531422,0
"United Kingdom","2022-09","Europe",0,0.108786610878661,0.161087866108787,0.334728033472803,0.395397489539749,0,0,0,0,0.556485355648536,0,0.443514644351464,75.4125,67281040,4.17285195117426
"United States","2022-09","North America",0,0.0307609162438735,0.376616554963336,0,0.592622528792791,0,0,0,0,0.969239083756127,0,0.0307609162438735,67.722962962963,336997624,10.9175680939943
